claim_id,date,student_alias,tariff,program,message,has_refund_request,has_contact_permission
CLM-2026-001,2026-06-02,Студент-01,Базовый,Основы зерокодинга,"Материал в модуле изложен слишком быстро, после урока тема осталась непонятной. Прошу объяснить её подробнее.",false,false
CLM-2026-002,2026-06-04,Студент-02,Стандарт,Автоматизация задач,"Курс не подошёл по формату. Прошу вернуть оплату и сообщить порядок оформления возврата.",true,true
CLM-2026-003,2026-06-06,Студент-03,Базовый,Основы зерокодинга,"Очень разочарован качеством обратной связи: ответ был формальным и не помог решить задачу.",false,false
CLM-2026-004,2026-06-08,Студент-04,Стандарт,Работа с нейросетями,"Когда доступна консультация по итоговому проекту и как на неё записаться?",false,true
CLM-2026-005,2026-06-10,Студент-05,Бизнес,Автоматизация задач,"Не открывается практическое задание: после нажатия появляется пустая страница. Подскажите, что проверить.",false,false
CLM-2026-006,2026-06-12,Студент-06,Стандарт,Работа с нейросетями,"Свяжитесь со мной, пожалуйста, чтобы обсудить перенос срока сдачи проекта.",false,true
CLM-2026-007,2026-06-14,Студент-07,Базовый,Основы зерокодинга,"Объяснение было запутанным и вызвало раздражение. Где найти дополнительный пример по этой теме?",false,false
CLM-2026-008,2026-06-16,Студент-08,Бизнес,Автоматизация задач,"По тарифу Бизнес обещана расширенная проверка проекта. Когда я получу комментарии эксперта?",false,true
CLM-2026-009,2026-06-18,Студент-09,Базовый,Работа с нейросетями,"В тарифе Базовый доступна проверка домашних заданий наставником или только автоматические подсказки?",false,false
CLM-2026-010,2026-06-20,Студент-10,VIP,Индивидуальная траектория,"Не получил согласованную персональную консультацию, а дедлайн уже близко. Прошу срочно назначить встречу и связаться со мной.",false,true
